function_l1,function_l2,department,sub_department,vendor,amount_2018
COGS,Cost of Product,Cloud Operations,Personnel,,998
COGS,Cost of Product,Cloud Operations,Personnel,,7400
COGS,Cost of Product,Cloud Operations,Personnel,,886
COGS,Cost of Product,Cloud Operations,Personnel,,658
COGS,Cost of Product,Cloud Operations,Personnel,,45129
COGS,Cost of Product,Cloud Operations,Personnel,,6205
COGS,Cost of Product,Cloud Operations,Personnel,,735
COGS,Cost of Product,Cloud Operations,Personnel,,6992
COGS,Cost of Product,Cloud Operations,T&E/Other,,968
COGS,Cost of Product,Cloud Operations,T&E/Other,,-53415
COGS,Cost of Product,Customer Success,Commissions,,1032
COGS,Cost of Product,Customer Success,Commissions,,5908
COGS,Cost of Product,Customer Success,Commissions,,9632
COGS,Cost of Product,Customer Success,Commissions,,9632
COGS,Cost of Product,Customer Success,Hosting,,249
COGS,Cost of Product,Customer Success,Occupancy,,0
COGS,Cost of Product,Customer Success,Occupancy,,35570
COGS,Cost of Product,Customer Success,Outsourced Services,,980
COGS,Cost of Product,Customer Success,Personnel,,-559
COGS,Cost of Product,Customer Success,Personnel,,2060
COGS,Cost of Product,Customer Success,Personnel,,16835
COGS,Cost of Product,Customer Success,Personnel,,8798
COGS,Cost of Product,Customer Success,Personnel,,13575
COGS,Cost of Product,Customer Success,Personnel,,2404
COGS,Cost of Product,Customer Success,Personnel,,0
COGS,Cost of Product,Customer Success,Personnel,,59839
COGS,Cost of Product,Customer Success,Personnel,,12406
COGS,Cost of Product,Customer Success,Personnel,,16804
COGS,Cost of Product,Customer Success,Personnel,,0
COGS,Cost of Product,Customer Success,Personnel,,8901
COGS,Cost of Product,Customer Success,Personnel,,0
COGS,Cost of Product,Customer Success,T&E/Other,,0
COGS,Cost of Product,Customer Success,T&E/Other,,1883
COGS,Cost of Product,Customer Success,T&E/Other,,6837
COGS,Cost of Product,Customer Success,T&E/Other,,675
COGS,Cost of Product,Customer Success,T&E/Other,,2391
COGS,Cost of Product,Customer Success,T&E/Other,,-165025
COGS,Cost of Product,Customer Success,T&E/Other,,3677
COGS,Cost of Product,Customer Success,T&E/Other,,7706
COGS,Cost of Product,Customer Success,T&E/Other,,2438
COGS,Cost of Product,Technical Support,External Contractors,,67080
COGS,Cost of Product,Technical Support,Occupancy,,14994
COGS,Cost of Product,Technical Support,Personnel,,0
COGS,Cost of Product,Technical Support,Personnel,,1514
COGS,Cost of Product,Technical Support,Personnel,,6300
COGS,Cost of Product,Technical Support,Personnel,,8204
COGS,Cost of Product,Technical Support,Personnel,,0
COGS,Cost of Product,Technical Support,Personnel,,19999
COGS,Cost of Product,Technical Support,Personnel,,873
COGS,Cost of PSO,Education and Training,Bonus,,4515
COGS,Cost of PSO,Education and Training,Occupancy,,14994
COGS,Cost of PSO,Education and Training,Personnel,,9292
COGS,Cost of PSO,Education and Training,Personnel,,19999
COGS,Cost of PSO,Education and Training,Personnel,,4807
COGS,Cost of PSO,Education and Training,T&E/Other,,172
COGS,Cost of PSO,Professional Services,Bonus,,68955
COGS,Cost of PSO,Professional Services,Commissions,,2404
COGS,Cost of PSO,Professional Services,External Contractors,,0
COGS,Cost of PSO,Professional Services,External Contractors,,40394
COGS,Cost of PSO,Professional Services,Occupancy,,30083
COGS,Cost of PSO,Professional Services,Outsourced Services,,90300
COGS,Cost of PSO,Professional Services,Outsourced Services,,50955
COGS,Cost of PSO,Professional Services,Personnel,,1062
COGS,Cost of PSO,Professional Services,Personnel,,4807
COGS,Cost of PSO,Professional Services,Personnel,,16030
COGS,Cost of PSO,Professional Services,Personnel,,-3234
COGS,Cost of PSO,Professional Services,Personnel,,10354
COGS,Cost of PSO,Professional Services,Personnel,,8398
COGS,Cost of PSO,Professional Services,Personnel,,13231
COGS,Cost of PSO,Professional Services,Personnel,,0
COGS,Cost of PSO,Professional Services,Personnel,,42351
COGS,Cost of PSO,Professional Services,Personnel,,0
COGS,Cost of PSO,Professional Services,T&E/Other,,30754
COGS,Cost of PSO,Professional Services,T&E/Other,,4395
COGS,Cost of PSO,Professional Services,T&E/Other,,7869
COGS,Cost of PSO,Professional Services,T&E/Other,,3814
COGS,Cost of PSO,Professional Services,T&E/Other,,16426
COGS,Cost of PSO,Professional Services,T&E/Other,,7198
COGS,Cost of PSO,Professional Services,T&E/Other,,7409
COGS,Cost of PSO,Professional Services,T&E/Other,,2554
COGS,Cost of PSO,Professional Services,T&E/Other,,-43151
COGS,Cost of Product,Cloud Operations,Commissions,,-2640
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,90459
COGS,Cost of Product,Cloud Operations,Hosting,,63115
COGS,Cost of Product,Cloud Operations,Hosting,,430
COGS,Cost of Product,Cloud Operations,Hosting,,9998
COGS,Cost of Product,Cloud Operations,Hosting,,23220
COGS,Cost of Product,Cloud Operations,Hosting,,300957
COGS,Cost of Product,Cloud Operations,Hosting,,10987
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,9563
COGS,Cost of Product,Cloud Operations,Hosting,,385985
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,216888
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,147808
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,8088
COGS,Cost of Product,Cloud Operations,Hosting,,15863
COGS,Cost of Product,Cloud Operations,Hosting,,100676
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,4369
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Occupancy,,1754
COGS,Cost of Product,Cloud Operations,Occupancy,,142489
COGS,Cost of Product,Cloud Operations,Occupancy,,0
COGS,Cost of Product,Cloud Operations,Outsourced Services,,452
COGS,Cost of Product,Cloud Operations,Personnel,,611
COGS,Cost of Product,Cloud Operations,Personnel,,4936
COGS,Cost of Product,Cloud Operations,Personnel,,6622
COGS,Cost of Product,Cloud Operations,Personnel,,1023
COGS,Cost of Product,Cloud Operations,Personnel,,4769
COGS,Cost of Product,Cloud Operations,Personnel,,5719
COGS,Cost of Product,Cloud Operations,Personnel,,5994
COGS,Cost of Product,Cloud Operations,Personnel,,4618
COGS,Cost of Product,Cloud Operations,Personnel,,1049
COGS,Cost of Product,Cloud Operations,Personnel,,4713
COGS,Cost of Product,Cloud Operations,Personnel,,4132
COGS,Cost of Product,Cloud Operations,Personnel,,74876
COGS,Cost of Product,Cloud Operations,Personnel,,1613
COGS,Cost of Product,Cloud Operations,Personnel,,4395
COGS,Cost of Product,Cloud Operations,Personnel,,916
COGS,Cost of Product,Cloud Operations,T&E/Other,,185
COGS,Cost of Product,Cloud Operations,T&E/Other,,5633
COGS,Cost of Product,Cloud Operations,T&E/Other,,2559
COGS,Cost of Product,Cloud Operations,T&E/Other,,8217
COGS,Cost of Product,Cloud Operations,T&E/Other,,37758
COGS,Cost of Product,Cloud Operations,T&E/Other,,9636
COGS,Cost of Product,Customer Success,Bonus,,131967
COGS,Cost of Product,Customer Success,Commissions,,-9254
COGS,Cost of Product,Customer Success,Hosting,,14749
COGS,Cost of Product,Customer Success,Hosting,,17996
COGS,Cost of Product,Customer Success,Occupancy,,18533
COGS,Cost of Product,Customer Success,Personnel,,0
COGS,Cost of Product,Customer Success,Personnel,,3109
COGS,Cost of Product,Customer Success,Personnel,,-2258
COGS,Cost of Product,Customer Success,Personnel,,5397
COGS,Cost of Product,Customer Success,Personnel,,10002
COGS,Cost of Product,Customer Success,Personnel,,0
COGS,Cost of Product,Customer Success,T&E/Other,,5564
COGS,Cost of Product,Customer Success,T&E/Other,,5762
COGS,Cost of Product,Customer Success,T&E/Other,,2227
COGS,Cost of Product,Customer Success,T&E/Other,,3745
COGS,Cost of Product,Customer Success,T&E/Other,,1613
COGS,Cost of Product,Customer Success,T&E/Other,,0
COGS,Cost of Product,Technical Support,Bonus,,81154
COGS,Cost of Product,Technical Support,Commissions,,-5908
COGS,Cost of Product,Technical Support,Hosting,,886
COGS,Cost of Product,Technical Support,Occupancy,,0
COGS,Cost of Product,Technical Support,Occupancy,,18533
COGS,Cost of Product,Technical Support,Outsourced Services,,5483
COGS,Cost of Product,Technical Support,Personnel,,-1621
COGS,Cost of Product,Technical Support,Personnel,,10002
COGS,Cost of Product,Technical Support,Personnel,,7886
COGS,Cost of Product,Technical Support,Personnel,,0
COGS,Cost of Product,Technical Support,T&E/Other,,5728
COGS,Cost of Product,Technical Support,T&E/Other,,3982
COGS,Cost of Product,Technical Support,T&E/Other,,0
COGS,Cost of PSO,Education and Training,Bonus,,61851
COGS,Cost of PSO,Education and Training,Commissions,,-692
COGS,Cost of PSO,Education and Training,Hosting,,757
COGS,Cost of PSO,Education and Training,Occupancy,,6437
COGS,Cost of PSO,Education and Training,Personnel,,-280
COGS,Cost of PSO,Education and Training,Personnel,,3861
COGS,Cost of PSO,Education and Training,T&E/Other,,0
COGS,Cost of PSO,Education and Training,T&E/Other,,722
COGS,Cost of PSO,Education and Training,T&E/Other,,469
COGS,Cost of PSO,Professional Services,Bonus,,40652
COGS,Cost of PSO,Professional Services,Commissions,,-3449
COGS,Cost of PSO,Professional Services,Hosting,,2051
COGS,Cost of PSO,Professional Services,Personnel,,-1402
COGS,Cost of PSO,Professional Services,Personnel,,0
COGS,Cost of PSO,Professional Services,T&E/Other,,4902
COGS,Cost of PSO,Professional Services,T&E/Other,,3599
COGS,Cost of PSO,Professional Services,T&E/Other,,2339
COGS,Cost of PSO,Professional Services,T&E/Other,,5741
COGS,Cost of PSO,Professional Services,T&E/Other,,0
COGS,Cost of Product,Cloud Operations,Commissions,,-4016
COGS,Cost of Product,Cloud Operations,Commissions,,0
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,111306
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,168
COGS,Cost of Product,Cloud Operations,Hosting,,280915
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,43937
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,15368
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,96260
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,1157
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,24489
COGS,Cost of Product,Cloud Operations,Hosting,,65192
COGS,Cost of Product,Cloud Operations,Hosting,,26011
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,2335
COGS,Cost of Product,Cloud Operations,Hosting,,32323
COGS,Cost of Product,Cloud Operations,Occupancy,,19045
COGS,Cost of Product,Cloud Operations,Occupancy,,0
COGS,Cost of Product,Cloud Operations,Personnel,,6579
COGS,Cost of Product,Cloud Operations,Personnel,,-5839
COGS,Cost of Product,Cloud Operations,Personnel,,452
COGS,Cost of Product,Cloud Operations,Personnel,,-8149
COGS,Cost of Product,Cloud Operations,Personnel,,0
COGS,Cost of Product,Cloud Operations,Personnel,,-6945
COGS,Cost of Product,Cloud Operations,Personnel,,0
COGS,Cost of Product,Cloud Operations,Personnel,,6016
COGS,Cost of Product,Cloud Operations,Personnel,,6953
COGS,Cost of Product,Cloud Operations,Personnel,,-5242
COGS,Cost of Product,Cloud Operations,Personnel,,11163
COGS,Cost of Product,Cloud Operations,Personnel,,6738
COGS,Cost of Product,Cloud Operations,Personnel,,-5186
COGS,Cost of Product,Cloud Operations,Personnel,,0
COGS,Cost of Product,Cloud Operations,T&E/Other,,0
COGS,Cost of Product,Customer Success,Commissions,,-27451
COGS,Cost of Product,Customer Success,Commissions,,0
COGS,Cost of Product,Customer Success,External Contractors,,99098
COGS,Cost of Product,Customer Success,Occupancy,,25151
COGS,Cost of Product,Customer Success,Personnel,,8819
COGS,Cost of Product,Customer Success,Personnel,,10440
COGS,Cost of Product,Customer Success,Personnel,,10092
COGS,Cost of Product,Customer Success,Personnel,,3148
COGS,Cost of Product,Customer Success,Personnel,,1376
COGS,Cost of Product,Customer Success,Personnel,,14478
COGS,Cost of Product,Customer Success,Personnel,,22
COGS,Cost of Product,Customer Success,Personnel,,1462
COGS,Cost of Product,Customer Success,Personnel,,6080
COGS,Cost of Product,Customer Success,Personnel,,0
COGS,Cost of Product,Customer Success,Personnel,,18894
COGS,Cost of Product,Customer Success,Personnel,,0
COGS,Cost of Product,Customer Success,Personnel,,0
COGS,Cost of Product,Customer Success,T&E/Other,,1638
COGS,Cost of Product,Customer Success,T&E/Other,,576
COGS,Cost of Product,Customer Success,T&E/Other,,2081
COGS,Cost of Product,Customer Success,T&E/Other,,744
COGS,Cost of Product,Customer Success,T&E/Other,,1140
COGS,Cost of Product,Customer Success,T&E/Other,,104159
COGS,Cost of Product,Technical Support,Bonus,,1935
COGS,Cost of Product,Technical Support,Commissions,,-5504
COGS,Cost of Product,Technical Support,Commissions,,0
COGS,Cost of Product,Technical Support,External Contractors,,269791
COGS,Cost of Product,Technical Support,Occupancy,,24213
COGS,Cost of Product,Technical Support,Occupancy,,133
COGS,Cost of Product,Technical Support,Personnel,,0
COGS,Cost of Product,Technical Support,Personnel,,5801
COGS,Cost of Product,Technical Support,Personnel,,5104
COGS,Cost of Product,Technical Support,Personnel,,7258
COGS,Cost of Product,Technical Support,Personnel,,12642
COGS,Cost of Product,Technical Support,Personnel,,8037
COGS,Cost of Product,Technical Support,Personnel,,4992
COGS,Cost of Product,Technical Support,Personnel,,0
COGS,Cost of Product,Technical Support,T&E/Other,,0
COGS,Cost of Product,Technical Support,T&E/Other,,998
COGS,Cost of Product,Technical Support,T&E/Other,,1514
COGS,Cost of PSO,Education and Training,Bonus,,3126
COGS,Cost of PSO,Education and Training,Commissions,,1664
COGS,Cost of PSO,Education and Training,Commissions,,0
COGS,Cost of PSO,Education and Training,Occupancy,,4038
COGS,Cost of PSO,Education and Training,Personnel,,0
COGS,Cost of PSO,Education and Training,Personnel,,5177
COGS,Cost of PSO,Education and Training,Personnel,,2107
COGS,Cost of PSO,Education and Training,Personnel,,0
COGS,Cost of PSO,Education and Training,T&E/Other,,740
COGS,Cost of PSO,Funded R&D,Commissions,,-5384
COGS,Cost of PSO,Funded R&D,Occupancy,,3810
COGS,Cost of PSO,Funded R&D,Personnel,,916
COGS,Cost of PSO,Funded R&D,Personnel,,2107
COGS,Cost of PSO,Professional Services,Bonus,,52039
COGS,Cost of PSO,Professional Services,Commissions,,21685
COGS,Cost of PSO,Professional Services,Commissions,,0
COGS,Cost of PSO,Professional Services,External Contractors,,0
COGS,Cost of PSO,Professional Services,External Contractors,,165163
COGS,Cost of PSO,Professional Services,External Contractors,,95133
COGS,Cost of PSO,Professional Services,Occupancy,,0
COGS,Cost of PSO,Professional Services,Occupancy,,714
COGS,Cost of PSO,Professional Services,Occupancy,,50835
COGS,Cost of PSO,Professional Services,Personnel,,0
COGS,Cost of PSO,Professional Services,Personnel,,6343
COGS,Cost of PSO,Professional Services,Personnel,,5908
COGS,Cost of PSO,Professional Services,Personnel,,9735
COGS,Cost of PSO,Professional Services,Personnel,,7147
COGS,Cost of PSO,Professional Services,Personnel,,10230
COGS,Cost of PSO,Professional Services,Personnel,,8665
COGS,Cost of PSO,Professional Services,Personnel,,2279
COGS,Cost of PSO,Professional Services,Personnel,,6080
COGS,Cost of PSO,Professional Services,Personnel,,8647
COGS,Cost of PSO,Professional Services,Personnel,,0
COGS,Cost of PSO,Professional Services,Personnel,,55513
COGS,Cost of PSO,Professional Services,Personnel,,8432
COGS,Cost of PSO,Professional Services,Personnel,,7439
COGS,Cost of PSO,Professional Services,Personnel,,8609
COGS,Cost of PSO,Professional Services,Personnel,,6717
COGS,Cost of PSO,Professional Services,Personnel,,17
COGS,Cost of PSO,Professional Services,Personnel,,8742
COGS,Cost of PSO,Professional Services,Personnel,,0
COGS,Cost of PSO,Professional Services,T&E/Other,,13124
COGS,Cost of PSO,Professional Services,T&E/Other,,13
COGS,Cost of PSO,Professional Services,T&E/Other,,1140
COGS,Cost of PSO,Professional Services,T&E/Other,,46466
COGS,Cost of PSO,Professional Services,T&E/Other,,2068
COGS,Cost of Product,Cloud Operations,Hosting,,19350
COGS,Cost of Product,Cloud Operations,Hosting,,195336
COGS,Cost of Product,Cloud Operations,Hosting,,593
COGS,Cost of Product,Cloud Operations,Hosting,,3651
COGS,Cost of Product,Cloud Operations,Hosting,,1281
COGS,Cost of Product,Cloud Operations,Hosting,,215
COGS,Cost of Product,Cloud Operations,Personnel,,6304
COGS,Cost of Product,Cloud Operations,Personnel,,0
COGS,Cost of Product,Customer Success,T&E/Other,,258
COGS,Cost of PSO,Professional Services,External Contractors,,12900
COGS,Cost of PSO,Professional Services,Occupancy,,81571
COGS,Cost of PSO,Professional Services,Outsourced Services,,2184
COGS,Cost of PSO,Professional Services,Personnel,,8394
COGS,Cost of PSO,Professional Services,Personnel,,7688
COGS,Cost of PSO,Professional Services,Personnel,,13756
COGS,Cost of PSO,Professional Services,Personnel,,10372
COGS,Cost of PSO,Professional Services,Personnel,,2516
COGS,Cost of PSO,Professional Services,Personnel,,0
COGS,Cost of PSO,Professional Services,Personnel,,-158163
COGS,Cost of PSO,Professional Services,Personnel,,6201
COGS,Cost of PSO,Professional Services,T&E/Other,,516
COGS,Cost of PSO,Professional Services,T&E/Other,,6785
COGS,Cost of PSO,Professional Services,T&E/Other,,42789
COGS,Cost of PSO,Professional Services,T&E/Other,,645
COGS,Cost of PSO,Professional Services,T&E/Other,,3836
