tier,type,customer_name,amount_2018
Revenue,Recurring,,2444
Revenue,Recurring,,2444
Revenue,Recurring,,2421
Revenue,Recurring,,2399
Revenue,Recurring,,2390
Revenue,Recurring,,2372
Revenue,Recurring,,2345
Revenue,Recurring,,2331
Revenue,Recurring,,2322
Revenue,Recurring,,2322
Revenue,Recurring,,2322
Revenue,Recurring,,2309
Revenue,Recurring,,2300
Revenue,Recurring,,2291
Revenue,Recurring,,2246
Revenue,Recurring,,2246
Revenue,Recurring,,2237
Revenue,Recurring,,2214
Revenue,Recurring,,2205
Revenue,Recurring,,2196
Revenue,Recurring,,2196
Revenue,Recurring,,2192
Revenue,Recurring,,2187
Revenue,Recurring,,2183
Revenue,Recurring,,2178
Revenue,Recurring,,2178
Revenue,Recurring,,2178
Revenue,Recurring,,2160
Revenue,Recurring,,2160
Revenue,Recurring,,2142
Revenue,Recurring,,2120
Revenue,Recurring,,2120
Revenue,Recurring,,2097
Revenue,Recurring,,2097
Revenue,Recurring,,2088
Revenue,Recurring,,2061
Revenue,Recurring,,2061
Revenue,Recurring,,2057
Revenue,Recurring,,2057
Revenue,Recurring,,2048
Revenue,Recurring,,2034
Revenue,Recurring,,2025
Revenue,Recurring,,2025
Revenue,Recurring,,2025
Revenue,Recurring,,2025
Revenue,Recurring,,2016
Revenue,Recurring,,2016
Revenue,Recurring,,2012
Revenue,Recurring,,2003
Revenue,Recurring,,1994
Revenue,Recurring,,1989
Revenue,Recurring,,1976
Revenue,Recurring,,1949
Revenue,Recurring,,1944
Revenue,Recurring,,1944
Revenue,Recurring,,1940
Revenue,Recurring,,1935
Revenue,Recurring,,1899
Revenue,Recurring,,1890
Revenue,Recurring,,1859
Revenue,Recurring,,1859
Revenue,Recurring,,1854
Revenue,Recurring,,1854
Revenue,Recurring,,1823
Revenue,Recurring,,1809
Revenue,Recurring,,1796
Revenue,Recurring,,1791
Revenue,Recurring,,1791
Revenue,Recurring,,1791
Revenue,Recurring,,1791
Revenue,Recurring,,1791
Revenue,Recurring,,1782
Revenue,Recurring,,1782
Revenue,Recurring,,1782
Revenue,Recurring,,1782
Revenue,Recurring,,1769
Revenue,Recurring,,1751
Revenue,Recurring,,1733
Revenue,Recurring,,1724
Revenue,Recurring,,1724
Revenue,Recurring,,1719
Revenue,Recurring,,1706
Revenue,Recurring,,1701
Revenue,Recurring,,1701
Revenue,Recurring,,1697
Revenue,Recurring,,1688
Revenue,Recurring,,1683
Revenue,Recurring,,1683
Revenue,Recurring,,1683
Revenue,Recurring,,1670
Revenue,Recurring,,1652
Revenue,Recurring,,1647
Revenue,Recurring,,1643
Revenue,Recurring,,1643
Revenue,Recurring,,1638
Revenue,Recurring,,1638
Revenue,Recurring,,1625
Revenue,Recurring,,1620
Revenue,Recurring,,1620
Revenue,Recurring,,1620
Revenue,Recurring,,1620
Revenue,Recurring,,1620
Revenue,Recurring,,1620
Revenue,Recurring,,1620
Revenue,Recurring,,1620
Revenue,Recurring,,1620
Revenue,Recurring,,1620
Revenue,Recurring,,1620
Revenue,Recurring,,1620
Revenue,Recurring,,1602
Revenue,Recurring,,1602
Revenue,Recurring,,1598
Revenue,Recurring,,1589
Revenue,Recurring,,1589
Revenue,Recurring,,1584
Revenue,Recurring,,1575
Revenue,Recurring,,1575
Revenue,Recurring,,1571
Revenue,Recurring,,1562
Revenue,Recurring,,1562
Revenue,Recurring,,1562
Revenue,Recurring,,1562
Revenue,Recurring,,1562
Revenue,Recurring,,1553
Revenue,Recurring,,1553
Revenue,Recurring,,1553
Revenue,Recurring,,1553
Revenue,Recurring,,1553
Revenue,Recurring,,1494
Revenue,Recurring,,1490
Revenue,Recurring,,1485
Revenue,Recurring,,1481
Revenue,Recurring,,1467
Revenue,Recurring,,1458
Revenue,Recurring,,1454
Revenue,Recurring,,1418
Revenue,Recurring,,1413
Revenue,Recurring,,1413
Revenue,Recurring,,1404
Revenue,Recurring,,1404
Revenue,Recurring,,1404
Revenue,Recurring,,1404
Revenue,Recurring,,1382
Revenue,Recurring,,1377
Revenue,Recurring,,1364
Revenue,Recurring,,1364
Revenue,Recurring,,1364
Revenue,Recurring,,1359
Revenue,Recurring,,1350
Revenue,Recurring,,1350
Revenue,Recurring,,1350
Revenue,Recurring,,1350
Revenue,Recurring,,1350
Revenue,Recurring,,1350
Revenue,Recurring,,1350
Revenue,Recurring,,1350
Revenue,Recurring,,1350
Revenue,Recurring,,1350
Revenue,Recurring,,1350
Revenue,Recurring,,1350
Revenue,Recurring,,1350
Revenue,Recurring,,1350
Revenue,Recurring,,1350
Revenue,Recurring,,1350
Revenue,Recurring,,1350
Revenue,Recurring,,1350
Revenue,Recurring,,1350
Revenue,Recurring,,1350
Revenue,Recurring,,1346
Revenue,Recurring,,1337
Revenue,Recurring,,1319
Revenue,Recurring,,1292
Revenue,Recurring,,1283
Revenue,Recurring,,1256
Revenue,Recurring,,1242
Revenue,Recurring,,1242
Revenue,Recurring,,1233
Revenue,Recurring,,1175
Revenue,Recurring,,1175
Revenue,Recurring,,1161
Revenue,Recurring,,1148
Revenue,Recurring,,1125
Revenue,Recurring,,1125
Revenue,Recurring,,1125
Revenue,Recurring,,1125
Revenue,Recurring,,1125
Revenue,Recurring,,1125
Revenue,Recurring,,1125
Revenue,Recurring,,1116
Revenue,Recurring,,1089
Revenue,Recurring,,1080
Revenue,Recurring,,1058
Revenue,Recurring,,1058
Revenue,Recurring,,1058
Revenue,Recurring,,1058
Revenue,Recurring,,1044
Revenue,Recurring,,1040
Revenue,Recurring,,1031
Revenue,Recurring,,1017
Revenue,Recurring,,1013
Revenue,Recurring,,999
Revenue,Recurring,,954
Revenue,Recurring,,950
Revenue,Recurring,,945
Revenue,Recurring,,941
Revenue,Recurring,,936
Revenue,Recurring,,932
Revenue,Recurring,,927
Revenue,Recurring,,918
Revenue,Recurring,,914
Revenue,Recurring,,900
Revenue,Recurring,,896
Revenue,Recurring,,864
Revenue,Recurring,,860
Revenue,Recurring,,855
Revenue,Recurring,,846
Revenue,Recurring,,842
Revenue,Recurring,,815
Revenue,Recurring,,806
Revenue,Recurring,,797
Revenue,Recurring,,792
Revenue,Recurring,,788
Revenue,Recurring,,770
Revenue,Recurring,,761
Revenue,Recurring,,747
Revenue,Recurring,,743
Revenue,Recurring,,743
Revenue,Recurring,,675
Revenue,Recurring,,675
Revenue,Recurring,,675
Revenue,Recurring,,662
Revenue,Recurring,,644
Revenue,Recurring,,639
Revenue,Recurring,,590
Revenue,Recurring,,563
Revenue,Recurring,,563
Revenue,Recurring,,563
Revenue,Recurring,,563
Revenue,Recurring,,563
Revenue,Recurring,,563
Revenue,Recurring,,563
Revenue,Recurring,,563
Revenue,Recurring,,563
Revenue,Recurring,,540
Revenue,Recurring,,527
Revenue,Recurring,,527
Revenue,Recurring,,522
Revenue,Recurring,,513
Revenue,Recurring,,509
Revenue,Recurring,,509
Revenue,Recurring,,504
Revenue,Recurring,,495
Revenue,Recurring,,495
Revenue,Recurring,,486
Revenue,Recurring,,473
Revenue,Recurring,,464
Revenue,Recurring,,459
Revenue,Recurring,,450
Revenue,Recurring,,450
Revenue,Recurring,,446
Revenue,Recurring,,446
Revenue,Recurring,,423
Revenue,Recurring,,392
Revenue,Recurring,,392
Revenue,Recurring,,392
Revenue,Recurring,,392
Revenue,Recurring,,387
Revenue,Recurring,,383
Revenue,Recurring,,378
Revenue,Recurring,,369
Revenue,Recurring,,356
Revenue,Recurring,,356
Revenue,Recurring,,356
Revenue,Recurring,,347
Revenue,Recurring,,342
Revenue,Recurring,,338
Revenue,Recurring,,338
Revenue,Recurring,,338
Revenue,Recurring,,338
Revenue,Recurring,,338
Revenue,Recurring,,329
Revenue,Recurring,,329
Revenue,Recurring,,311
Revenue,Recurring,,311
Revenue,Recurring,,306
Revenue,Recurring,,297
Revenue,Recurring,,297
Revenue,Recurring,,297
Revenue,Recurring,,297
Revenue,Recurring,,293
Revenue,Recurring,,288
Revenue,Recurring,,284
Revenue,Recurring,,270
Revenue,Recurring,,266
Revenue,Recurring,,266
Revenue,Recurring,,261
Revenue,Recurring,,257
Revenue,Recurring,,257
Revenue,Recurring,,257
Revenue,Recurring,,239
Revenue,Recurring,,234
Revenue,Recurring,,230
Revenue,Recurring,,230
Revenue,Recurring,,230
Revenue,Recurring,,225
Revenue,Recurring,,225
Revenue,Recurring,,225
Revenue,Recurring,,225
Revenue,Recurring,,221
Revenue,Recurring,,221
Revenue,Recurring,,216
Revenue,Recurring,,212
Revenue,Recurring,,207
Revenue,Recurring,,207
Revenue,Recurring,,207
Revenue,Recurring,,203
Revenue,Recurring,,198
Revenue,Recurring,,198
Revenue,Recurring,,189
Revenue,Recurring,,189
Revenue,Recurring,,180
Revenue,Recurring,,180
Revenue,Recurring,,180
Revenue,Recurring,,180
Revenue,Recurring,,180
Revenue,Recurring,,180
Revenue,Recurring,,171
Revenue,Recurring,,167
Revenue,Recurring,,162
Revenue,Recurring,,140
Revenue,Recurring,,135
Revenue,Recurring,,122
Revenue,Recurring,,81
Revenue,Recurring,,81
Revenue,Recurring,,72
Revenue,Recurring,,68
Revenue,Recurring,,63
Revenue,Recurring,,54
Revenue,Recurring,,41
Revenue,Recurring,,36
Revenue,Recurring,,27
Revenue,Recurring,,27
Revenue,Recurring,,23
Revenue,Recurring,,18
Revenue,Recurring,,14
Revenue,Recurring,,9
Revenue,Recurring,,5
Revenue,Recurring,,0
Revenue,Recurring,,-189
Revenue,Recurring,,-212
Revenue,Recurring,,0
Revenue,Recurring,,3010041
Revenue,Recurring,,0
Revenue,Recurring,,1558940
Revenue,Recurring,,576846
Revenue,Recurring,,446517
Revenue,Recurring,,412925
Revenue,Recurring,,224015
Revenue,Recurring,,186417
Revenue,Recurring,,162729
Revenue,Recurring,,148500
Revenue,Recurring,,145125
Revenue,Recurring,,128997
Revenue,Recurring,,125654
Revenue,Recurring,,124875
Revenue,Recurring,,113544
Revenue,Recurring,,113279
Revenue,Recurring,,105579
Revenue,Recurring,,101912
Revenue,Recurring,,99689
Revenue,Recurring,,97898
Revenue,Recurring,,94626
Revenue,Recurring,,90450
Revenue,Recurring,,90000
Revenue,Recurring,,82530
Revenue,Recurring,,79677
Revenue,Recurring,,78476
Revenue,Recurring,,78147
Revenue,Recurring,,75686
Revenue,Recurring,,74250
Revenue,Recurring,,72986
Revenue,Recurring,,70875
Revenue,Recurring,,70875
Revenue,Recurring,,68283
Revenue,Recurring,,67779
Revenue,Recurring,,64787
Revenue,Recurring,,64733
Revenue,Recurring,,62181
Revenue,Recurring,,58563
Revenue,Recurring,,56255
Revenue,Recurring,,55355
Revenue,Recurring,,55125
Revenue,Recurring,,54900
Revenue,Recurring,,54000
Revenue,Recurring,,54000
Revenue,Recurring,,54000
Revenue,Recurring,,54000
Revenue,Recurring,,54000
Revenue,Recurring,,53964
Revenue,Recurring,,52353
Revenue,Recurring,,50625
Revenue,Recurring,,50175
Revenue,Recurring,,49262
Revenue,Recurring,,48065
Revenue,Recurring,,47250
Revenue,Recurring,,46679
Revenue,Recurring,,45000
Revenue,Recurring,,45000
Revenue,Recurring,,44001
Revenue,Recurring,,43934
Revenue,Recurring,,43569
Revenue,Recurring,,43124
Revenue,Recurring,,41850
Revenue,Recurring,,40500
Revenue,Recurring,,40500
Revenue,Recurring,,40275
Revenue,Recurring,,39897
Revenue,Recurring,,39245
Revenue,Recurring,,39150
Revenue,Recurring,,38853
Revenue,Recurring,,37508
Revenue,Recurring,,37125
Revenue,Recurring,,37125
Revenue,Recurring,,37058
Revenue,Recurring,,36000
Revenue,Recurring,,35933
Revenue,Recurring,,35739
Revenue,Recurring,,34997
Revenue,Recurring,,34767
Revenue,Recurring,,34538
Revenue,Recurring,,34092
Revenue,Recurring,,33750
Revenue,Recurring,,31959
Revenue,Recurring,,31545
Revenue,Recurring,,31500
Revenue,Recurring,,31379
Revenue,Recurring,,30848
Revenue,Recurring,,30375
Revenue,Recurring,,30348
Revenue,Recurring,,27815
Revenue,Recurring,,27594
Revenue,Recurring,,27360
Revenue,Recurring,,27077
Revenue,Recurring,,27000
Revenue,Recurring,,27000
Revenue,Recurring,,27000
Revenue,Recurring,,27000
Revenue,Recurring,,27000
Revenue,Recurring,,27000
Revenue,Recurring,,27000
Revenue,Recurring,,27000
Revenue,Recurring,,27000
Revenue,Recurring,,27000
Revenue,Recurring,,27000
Revenue,Recurring,,27000
Revenue,Recurring,,27000
Revenue,Recurring,,27000
Revenue,Recurring,,27000
Revenue,Recurring,,27000
Revenue,Recurring,,27000
Revenue,Recurring,,27000
Revenue,Recurring,,27000
Revenue,Recurring,,27000
Revenue,Recurring,,27000
Revenue,Recurring,,27000
Revenue,Recurring,,27000
Revenue,Recurring,,27000
Revenue,Recurring,,27000
Revenue,Recurring,,27000
Revenue,Recurring,,27000
Revenue,Recurring,,27000
Revenue,Recurring,,27000
Revenue,Recurring,,27000
Revenue,Recurring,,27000
Revenue,Recurring,,27000
Revenue,Recurring,,27000
Revenue,Recurring,,27000
Revenue,Recurring,,27000
Revenue,Recurring,,24750
Revenue,Recurring,,24750
Revenue,Recurring,,23868
Revenue,Recurring,,23625
Revenue,Recurring,,23625
Revenue,Recurring,,23625
Revenue,Recurring,,23585
Revenue,Recurring,,23229
Revenue,Recurring,,23112
Revenue,Recurring,,22928
Revenue,Recurring,,20736
Revenue,Recurring,,20633
Revenue,Recurring,,20250
Revenue,Recurring,,20250
Revenue,Recurring,,20250
Revenue,Recurring,,20250
Revenue,Recurring,,20250
Revenue,Recurring,,20250
Revenue,Recurring,,19845
Revenue,Recurring,,19175
Revenue,Recurring,,18378
Revenue,Recurring,,18275
Revenue,Recurring,,18261
Revenue,Recurring,,18000
Revenue,Recurring,,18000
Revenue,Recurring,,17550
Revenue,Recurring,,17550
Revenue,Recurring,,16875
Revenue,Recurring,,16875
Revenue,Recurring,,16466
Revenue,Recurring,,16200
Revenue,Recurring,,15917
Revenue,Recurring,,15341
Revenue,Recurring,,15044
Revenue,Recurring,,14805
Revenue,Recurring,,14625
Revenue,Recurring,,13820
Revenue,Recurring,,13676
Revenue,Recurring,,13500
Revenue,Recurring,,13500
Revenue,Recurring,,13500
Revenue,Recurring,,13500
Revenue,Recurring,,13500
Revenue,Recurring,,13500
Revenue,Recurring,,13500
Revenue,Recurring,,13500
Revenue,Recurring,,13500
Revenue,Recurring,,13500
Revenue,Recurring,,13500
Revenue,Recurring,,13500
Revenue,Recurring,,13500
Revenue,Recurring,,13500
Revenue,Recurring,,13500
Revenue,Recurring,,13500
Revenue,Recurring,,13500
Revenue,Recurring,,13500
Revenue,Recurring,,13500
Revenue,Recurring,,13500
Revenue,Recurring,,11475
Revenue,Recurring,,11250
Revenue,Recurring,,10800
Revenue,Recurring,,10503
Revenue,Recurring,,10125
Revenue,Recurring,,9185
Revenue,Recurring,,9180
Revenue,Recurring,,9000
Revenue,Recurring,,9000
Revenue,Recurring,,8807
Revenue,Recurring,,8757
Revenue,Recurring,,8402
Revenue,Recurring,,7344
Revenue,Recurring,,7088
Revenue,Recurring,,6989
Revenue,Recurring,,6872
Revenue,Recurring,,6750
Revenue,Recurring,,6750
Revenue,Recurring,,6750
Revenue,Recurring,,6750
Revenue,Recurring,,6750
Revenue,Recurring,,6750
Revenue,Recurring,,6750
Revenue,Recurring,,6750
Revenue,Recurring,,6750
Revenue,Recurring,,6750
Revenue,Recurring,,6750
Revenue,Recurring,,6750
Revenue,Recurring,,6750
Revenue,Recurring,,6750
Revenue,Recurring,,6750
Revenue,Recurring,,6750
Revenue,Recurring,,6683
Revenue,Recurring,,6584
Revenue,Recurring,,5859
Revenue,Recurring,,5850
Revenue,Recurring,,5346
Revenue,Recurring,,4784
Revenue,Recurring,,4500
Revenue,Recurring,,4451
Revenue,Recurring,,4284
Revenue,Recurring,,4248
Revenue,Recurring,,3798
Revenue,Recurring,,3600
Revenue,Recurring,,3569
Revenue,Recurring,,3506
Revenue,Recurring,,3375
Revenue,Recurring,,3240
Revenue,Recurring,,3141
Revenue,Recurring,,3038
Revenue,Recurring,,2925
Revenue,Recurring,,2687
Revenue,Recurring,,2624
Revenue,Recurring,,2534
Revenue,Recurring,,2525
Revenue,Recurring,,2453
Revenue,Recurring,,2367
Revenue,Recurring,,2349
Revenue,Recurring,,2345
Revenue,Recurring,,2250
Revenue,Recurring,,2250
Revenue,Recurring,,2052
Revenue,Recurring,,2043
Revenue,Recurring,,2007
Revenue,Recurring,,1998
Revenue,Recurring,,1998
Revenue,Recurring,,1337
Revenue,Recurring,,1337
Revenue,Recurring,,1337
Revenue,Recurring,,1337
Revenue,Recurring,,1337
Revenue,Recurring,,1337
Revenue,Recurring,,1305
Revenue,Recurring,,1067
Revenue,Recurring,,1067
Revenue,Recurring,,1067
Revenue,Recurring,,1067
Revenue,Recurring,,1049
Revenue,Recurring,,1049
Revenue,Recurring,,810
Revenue,Recurring,,675
Revenue,Recurring,,662
Revenue,Recurring,,662
Revenue,Recurring,,662
Revenue,Recurring,,662
Revenue,Recurring,,662
Revenue,Recurring,,662
Revenue,Recurring,,662
Revenue,Recurring,,662
Revenue,Recurring,,662
Revenue,Recurring,,662
Revenue,Recurring,,662
Revenue,Recurring,,662
Revenue,Recurring,,662
Revenue,Recurring,,662
Revenue,Recurring,,554
Revenue,Recurring,,207
Revenue,Recurring,,50
Revenue,Recurring,,5
Revenue,Recurring,,0
Revenue,Recurring,,-1350
Revenue,Recurring,,737244
Revenue,Recurring,,444488
Revenue,Recurring,,391896
Revenue,Recurring,,303030
Revenue,Recurring,,301779
Revenue,Recurring,,267336
Revenue,Recurring,,259628
Revenue,Recurring,,258957
Revenue,Recurring,,244080
Revenue,Recurring,,225000
Revenue,Recurring,,193973
Revenue,Recurring,,190427
Revenue,Recurring,,187560
Revenue,Recurring,,185999
Revenue,Recurring,,168750
Revenue,Recurring,,155534
Revenue,Recurring,,152870
Revenue,Recurring,,151875
Revenue,Recurring,,150462
Revenue,Recurring,,147191
Revenue,Recurring,,146250
Revenue,Recurring,,139095
Revenue,Recurring,,135900
Revenue,Recurring,,131823
Revenue,Recurring,,126000
Revenue,Recurring,,125465
Revenue,Recurring,,125348
Revenue,Recurring,,124295
Revenue,Recurring,,119912
Revenue,Recurring,,119790
Revenue,Recurring,,119412
Revenue,Recurring,,114480
Revenue,Recurring,,107438
Revenue,Recurring,,103275
Revenue,Recurring,,99563
Revenue,Recurring,,97254
Revenue,Recurring,,96750
Revenue,Recurring,,94770
Revenue,Recurring,,93096
Revenue,Recurring,,92462
Revenue,Recurring,,91971
Revenue,Recurring,,91845
Revenue,Recurring,,90603
Revenue,Recurring,,89478
Revenue,Recurring,,88083
Revenue,Recurring,,87075
Revenue,Recurring,,83390
Revenue,Recurring,,82067
Revenue,Recurring,,81648
Revenue,Recurring,,81140
Revenue,Recurring,,80474
Revenue,Recurring,,79335
Revenue,Recurring,,78750
Revenue,Recurring,,78750
Revenue,Recurring,,77958
Revenue,Recurring,,77108
Revenue,Recurring,,76500
Revenue,Recurring,,74925
Revenue,Recurring,,70731
Revenue,Recurring,,65610
Revenue,Recurring,,65115
Revenue,Recurring,,64485
Revenue,Recurring,,64170
Revenue,Recurring,,63752
Revenue,Recurring,,62906
Revenue,Recurring,,61875
Revenue,Recurring,,61322
Revenue,Recurring,,60836
Revenue,Recurring,,60251
Revenue,Recurring,,59738
Revenue,Recurring,,59643
Revenue,Recurring,,58905
Revenue,Recurring,,56237
Revenue,Recurring,,54806
Revenue,Recurring,,53901
Revenue,Recurring,,53834
Revenue,Recurring,,53100
Revenue,Recurring,,52506
Revenue,Recurring,,50409
Revenue,Recurring,,48677
Revenue,Recurring,,47840
Revenue,Recurring,,46989
Revenue,Recurring,,46157
Revenue,Recurring,,45000
Revenue,Recurring,,44010
Revenue,Recurring,,40311
Revenue,Recurring,,39375
Revenue,Recurring,,38390
Revenue,Recurring,,36671
Revenue,Recurring,,33701
Revenue,Recurring,,32963
Revenue,Recurring,,31572
Revenue,Recurring,,28368
Revenue,Recurring,,28328
Revenue,Recurring,,28130
Revenue,Recurring,,27927
Revenue,Recurring,,26721
Revenue,Recurring,,24116
Revenue,Recurring,,23792
Revenue,Recurring,,23400
Revenue,Recurring,,20858
Revenue,Recurring,,20250
Revenue,Recurring,,19854
Revenue,Recurring,,19440
Revenue,Recurring,,19080
Revenue,Recurring,,18050
Revenue,Recurring,,18000
Revenue,Recurring,,17591
Revenue,Recurring,,17361
Revenue,Recurring,,17060
Revenue,Recurring,,16403
Revenue,Recurring,,14400
Revenue,Recurring,,13500
Revenue,Recurring,,12002
Revenue,Recurring,,10130
Revenue,Recurring,,9792
Revenue,Recurring,,8996
Revenue,Recurring,,5405
Revenue,Recurring,,4968
Revenue,Recurring,,4424
Revenue,Recurring,,0
Revenue,Recurring,,-76316
Revenue,Recurring,,901724
Revenue,Recurring,,486648
Revenue,Recurring,,340322
Revenue,Recurring,,328856
Revenue,Recurring,,284405
Revenue,Recurring,,259866
Revenue,Recurring,,232844
Revenue,Recurring,,214884
Revenue,Recurring,,194814
Revenue,Recurring,,187290
Revenue,Recurring,,184365
Revenue,Recurring,,169965
Revenue,Recurring,,161001
Revenue,Recurring,,152217
Revenue,Recurring,,139806
Revenue,Recurring,,137160
Revenue,Recurring,,134861
Revenue,Recurring,,127107
Revenue,Recurring,,122931
Revenue,Recurring,,122432
Revenue,Recurring,,121460
Revenue,Recurring,,108752
Revenue,Recurring,,106515
Revenue,Recurring,,101610
Revenue,Recurring,,100899
Revenue,Recurring,,100449
Revenue,Recurring,,95243
Revenue,Recurring,,90297
Revenue,Recurring,,84938
Revenue,Recurring,,83696
Revenue,Recurring,,83669
Revenue,Recurring,,83106
Revenue,Recurring,,83016
Revenue,Recurring,,82148
Revenue,Recurring,,81959
Revenue,Recurring,,79587
Revenue,Recurring,,76797
Revenue,Recurring,,76536
Revenue,Recurring,,75249
Revenue,Recurring,,74961
Revenue,Recurring,,74561
Revenue,Recurring,,72059
Revenue,Recurring,,71271
Revenue,Recurring,,70425
Revenue,Recurring,,66452
Revenue,Recurring,,65732
Revenue,Recurring,,65043
Revenue,Recurring,,65007
Revenue,Recurring,,65007
Revenue,Recurring,,64886
Revenue,Recurring,,64728
Revenue,Recurring,,64314
Revenue,Recurring,,63720
Revenue,Recurring,,63509
Revenue,Recurring,,63504
Revenue,Recurring,,60705
Revenue,Recurring,,60471
Revenue,Recurring,,60080
Revenue,Recurring,,57983
Revenue,Recurring,,57681
Revenue,Recurring,,57299
Revenue,Recurring,,56772
Revenue,Recurring,,56318
Revenue,Recurring,,55233
Revenue,Recurring,,53816
Revenue,Recurring,,53438
Revenue,Recurring,,53073
Revenue,Recurring,,50090
Revenue,Recurring,,49577
Revenue,Recurring,,47655
Revenue,Recurring,,47034
Revenue,Recurring,,46638
Revenue,Recurring,,46485
Revenue,Recurring,,46148
Revenue,Recurring,,45909
Revenue,Recurring,,44861
Revenue,Recurring,,44838
Revenue,Recurring,,42800
Revenue,Recurring,,42147
Revenue,Recurring,,42080
Revenue,Recurring,,41292
Revenue,Recurring,,40554
Revenue,Recurring,,40379
Revenue,Recurring,,39461
Revenue,Recurring,,39335
Revenue,Recurring,,39038
Revenue,Recurring,,37629
Revenue,Recurring,,37287
Revenue,Recurring,,37112
Revenue,Recurring,,37053
Revenue,Recurring,,36738
Revenue,Recurring,,36329
Revenue,Recurring,,35996
Revenue,Recurring,,35816
Revenue,Recurring,,34434
Revenue,Recurring,,34313
Revenue,Recurring,,34263
Revenue,Recurring,,33998
Revenue,Recurring,,33876
Revenue,Recurring,,33840
Revenue,Recurring,,33597
Revenue,Recurring,,33264
Revenue,Recurring,,32414
Revenue,Recurring,,32202
Revenue,Recurring,,32180
Revenue,Recurring,,31811
Revenue,Recurring,,31415
Revenue,Recurring,,31010
Revenue,Recurring,,30204
Revenue,Recurring,,30150
Revenue,Recurring,,29646
Revenue,Recurring,,29637
Revenue,Recurring,,28494
Revenue,Recurring,,28418
Revenue,Recurring,,27900
Revenue,Recurring,,27410
Revenue,Recurring,,27194
Revenue,Recurring,,26064
Revenue,Recurring,,26055
Revenue,Recurring,,25439
Revenue,Recurring,,25232
Revenue,Recurring,,24705
Revenue,Recurring,,24453
Revenue,Recurring,,24336
Revenue,Recurring,,24269
Revenue,Recurring,,23783
Revenue,Recurring,,23769
Revenue,Recurring,,23382
Revenue,Recurring,,23184
Revenue,Recurring,,23139
Revenue,Recurring,,22842
Revenue,Recurring,,21722
Revenue,Recurring,,21672
Revenue,Recurring,,21524
Revenue,Recurring,,21281
Revenue,Recurring,,20907
Revenue,Recurring,,20718
Revenue,Recurring,,20295
Revenue,Recurring,,19958
Revenue,Recurring,,19832
Revenue,Recurring,,19476
Revenue,Recurring,,19422
Revenue,Recurring,,19094
Revenue,Recurring,,18963
Revenue,Recurring,,18959
Revenue,Recurring,,18671
Revenue,Recurring,,18549
Revenue,Recurring,,18495
Revenue,Recurring,,18356
Revenue,Recurring,,18063
Revenue,Recurring,,17829
Revenue,Recurring,,17348
Revenue,Recurring,,17145
Revenue,Recurring,,17118
Revenue,Recurring,,16961
Revenue,Recurring,,16947
Revenue,Recurring,,16902
Revenue,Recurring,,16749
Revenue,Recurring,,16740
Revenue,Recurring,,16592
Revenue,Recurring,,16542
Revenue,Recurring,,16461
Revenue,Recurring,,16281
Revenue,Recurring,,16218
Revenue,Recurring,,16218
Revenue,Recurring,,16191
Revenue,Recurring,,16160
Revenue,Recurring,,16110
Revenue,Recurring,,16092
Revenue,Recurring,,15845
Revenue,Recurring,,15840
Revenue,Recurring,,15750
Revenue,Recurring,,15552
Revenue,Recurring,,15341
Revenue,Recurring,,15327
Revenue,Recurring,,15269
Revenue,Recurring,,15120
Revenue,Recurring,,14711
Revenue,Recurring,,14580
Revenue,Recurring,,14333
Revenue,Recurring,,13793
Revenue,Recurring,,13671
Revenue,Recurring,,13424
Revenue,Recurring,,13316
Revenue,Recurring,,13163
Revenue,Recurring,,13010
Revenue,Recurring,,12695
Revenue,Recurring,,12627
Revenue,Recurring,,12497
Revenue,Recurring,,12384
Revenue,Recurring,,12267
Revenue,Recurring,,12186
Revenue,Recurring,,12159
Revenue,Recurring,,11894
Revenue,Recurring,,11628
Revenue,Recurring,,11435
Revenue,Recurring,,11435
Revenue,Recurring,,11381
Revenue,Recurring,,11120
Revenue,Recurring,,11106
Revenue,Recurring,,10859
Revenue,Recurring,,10742
Revenue,Recurring,,10719
Revenue,Recurring,,10247
Revenue,Recurring,,10233
Revenue,Recurring,,10152
Revenue,Recurring,,10053
Revenue,Recurring,,10026
Revenue,Recurring,,9869
Revenue,Recurring,,9810
Revenue,Recurring,,9779
Revenue,Recurring,,9666
Revenue,Recurring,,9626
Revenue,Recurring,,9617
Revenue,Recurring,,9342
Revenue,Recurring,,9270
Revenue,Recurring,,9203
Revenue,Recurring,,9135
Revenue,Recurring,,8924
Revenue,Recurring,,8915
Revenue,Recurring,,8847
Revenue,Recurring,,8834
Revenue,Recurring,,8807
Revenue,Recurring,,8573
Revenue,Recurring,,8456
Revenue,Recurring,,8424
Revenue,Recurring,,8321
Revenue,Recurring,,8285
Revenue,Recurring,,8262
Revenue,Recurring,,8078
Revenue,Recurring,,8042
Revenue,Recurring,,7970
Revenue,Recurring,,7916
Revenue,Recurring,,7884
Revenue,Recurring,,7803
Revenue,Recurring,,7776
Revenue,Recurring,,7673
Revenue,Recurring,,7628
Revenue,Recurring,,7601
Revenue,Recurring,,7529
Revenue,Recurring,,7439
Revenue,Recurring,,7340
Revenue,Recurring,,7317
Revenue,Recurring,,6953
Revenue,Recurring,,6912
Revenue,Recurring,,6912
Revenue,Recurring,,6885
Revenue,Recurring,,6728
Revenue,Recurring,,6579
Revenue,Recurring,,6417
Revenue,Recurring,,6309
